ID,Name,Year of initial milestone,Number of stations,Project type,Funding program,City,State,Mode
401,Atlanta/North Line Extension,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997
402,Baltimore LRT Extensions ,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997
403,Baltimore Central Light Rail Double Tracking ,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000
404,MARC Commuter Rail Improvements,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000
405,MARC Penn-Camden connection ,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000
406,MARC Frederick Extension & Rolling Stock Procurement ,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997
407,Baltimore Red Line,AR-2013,AR-2014,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013
408,Maryland National Capital Purple Line,PP,PP,PP,PP,PP,PP,PP
409,Silver Line,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997
410,Green Line Extension,PP,PP,PP,PP,PP,PP,PP
411,Lowell-Nashua Commuter Rail Extension ,AR-2000,AR-2002,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000
412,Burlington to Charlotte Corridor ,AR-1997,AR-1998,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997
413,Burlington-Essex Commuter Rail Project,AR-1997,AR-1998,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997
414,Queens Connector,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997
415,Long Island Rail Road East Side Access,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000
416,Second Avenue Subway,PP,PP,PP,PP,PP,PP,PP
417,Canarsie Line Power Improvements,PP,PP,PP,PP,PP,PP,PP
418,Woodhaven Boulevard Select Bus Service,PP,PP,PP,PP,PP,PP,PP
419,Washington/Western Bus Rapid Transit Line,PP,PP,PP,PP,PP,PP,PP
420,River Corridor/Blue Line Bus Rapid Transit ,PP,PP,PP,PP,PP,PP,PP
421,Hudson Tunnel,PP,PP,PP,PP,PP,PP,PP
422,Dallas North Central Corridor LRT,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997
423,Dallas Trinity Railtran Phase 2,AR-1997,AR-2001,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997
424,Dallas South Oak Cliff Corridor,Spielberg,Spielberg,Spielberg,Spielberg,Spielberg,Spielberg,Spielberg
425,Dallas Northwest / Southeast LRT MOS ,BA,BA,BA,BA,BA,BA,BA
426,Dallas Red and Blue Line Platform Extensions,PP,PP,PP,PP,PP,PP,PP
427,Dallas CBD Second Light Rail Alignment (D2 Subway),PP,PP,PP,PP,PP,PP,PP
428,Houston Regional Bus Plan ,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997
429,Houston North Corridor LRT,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007
430,Houston Southeast Corridor LRT,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013
431,Houston University Corridor LRT,PP,PP,PP,PP,PP,PP,PP
432,Houston Downtown to Astrodome Light Rail,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001
433,Northwest/North Central Corridor ,AR-2000,AR-2001,AR-2000,AR-2001,AR-2000,AR-2000,AR-2000
434,Austin Light Rail Corridors,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001
435,MetroRapid Bus Rapid Transit Project ,BA,BA,BA,BA,BA,BA,BA
436,Dyer Avenue Bus Rapid Transit System,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013
437,Montana Avenue Rapid Transit System,PP,PP,PP,PP,PP,PP,PP
438,Sun Metro Areas Rapid Transit (SMART) Starter Line ,AR-2005,AR-2005,AR-2005,AR-2005,AR-2005,AR-2005,AR-2005
439,TEX Rail,PP,PP,PP,PP,PP,PP,PP
440,San Antonio Modern Streetcar Project,PP,PP,PP,PP,PP,PP,PP
441,Rail Trolley Extension ,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001
442,Waco Rapid Transit Corridor,PP,PP,PP,PP,PP,PP,PP
443,Denver SW Corridor LRT,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997
444,Denver West Corridor LRT,SR-2002,SR-2002,SR-2002,SR-2002,SR-2002,SR-2002,SR-2002
445,Denver Eagle Commuter Rail (East Corridor and Gold Line),PP,PP,PP,PP,PP,PP,PP
446,Denver Southeast Corridor LRT ,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001
447,Denver Southeast Rail Extension,PP,PP,PP,PP,PP,PP,PP
