ID,Name,Year,Milestone,Project length,Expected cost,Expected 5309 contribution,Expected other federal funds,Expected opening
401,Atlanta/North Line Extension,1994,FFGA Awarded,1.9,$381.31 ,$305.01 , $-   ,2000
401,Atlanta/North Line Extension,1994,FFGA Awarded,1.9,$463.18 ,$305.01 , $-   ,NAV
401,Atlanta/North Line Extension,1999,FFGA Awarded,1.9,$463.18 ,$370.54 , $-   ,2000
401,Atlanta/North Line Extension,2000,Project Opening,1.9,$472.70 ,$370.54 ,NAV,2000
402,Baltimore LRT Extensions ,1994,FFGA Awarded,7.25,$106.34 ,$84.90 , NAV ,1997
402,Baltimore LRT Extensions ,1997,Project Opening,7.3,$116.20 ,$84.90 ,NAV,1997
403,Baltimore Central Light Rail Double Tracking ,1999,Preliminary Engineering,9.4,$153.70 ,$120.00 , NAV ,NAV
403,Baltimore Central Light Rail Double Tracking ,2001,Final Design,9.4,$153.70 ,$120.00 ,$3.00 ,NAV
403,Baltimore Central Light Rail Double Tracking ,2001,FFGA Awarded,9.4,$153.70 ,$120.00 ,$3.00 ,2006
403,Baltimore Central Light Rail Double Tracking ,2006,Project Opening,9.4,$151.60 ,$120.00 ,NAV,"$2,006.00 "
404,MARC Commuter Rail Improvements,2000,Preliminary Engineering,NA,$85.10 ,$40.90 ,$13.50 ,NAV
404,MARC Commuter Rail Improvements,2003,Preliminary Engineering,NA,$90.70 ,$61.50 , NAV ,NAV
405,MARC Penn-Camden connection ,2000,Final Design,30.8,$30.80 ,$12.40 , NAV ,NAV
406,MARC Frederick Extension & Rolling Stock Procurement ,1995,FFGA Awarded,NAV,$131.56 ,$105.25 , $-   ,2001
407,Baltimore Red Line,2011,Preliminary Engineering,14.5,"$2,219.25 ","$1,109.00 ", $-   ,2021
407,Baltimore Red Line,2012,Project Development,14.1,"$2,574.80 ","$1,250.00 ", $-   ,2021
407,Baltimore Red Line,2014,Project Development,14.1,"$2,644.52 ",$900.00 , $-   ,2022
407,Baltimore Red Line,2013,Project Development,14.1,"$2,997.75 ",$900.00 ,$55.20 ,2023
407,Baltimore Red Line,2015,Project Cancelled,,,,,
408,Maryland National Capital Purple Line,2011,Preliminary Engineering,16.2,"$1,925.46 ",$962.60 , $-   ,2020
408,Maryland National Capital Purple Line,2012,Project Development,16.2,"$2,151.66 ","$1,053.00 ", $-   ,2020
408,Maryland National Capital Purple Line,2014,Project Development,16.2,"$2,371.15 ",$900.00 , $-   ,2020
408,Maryland National Capital Purple Line,2014,Engineering,16.2,"$2,448.22 ",$900.00 , $-   ,2020
408,Maryland National Capital Purple Line,2017,FFGA Awarded,16.2,"$2,407.03 ",$900.00 ,$36.00 ,2022
409a,South Boston Piers Phase I (MOS-2),1993,Preliminary Engineering,1,$413.41 ,$330.73 , $-   ,2000
409a,South Boston Piers Phase I (MOS-2),1994,FFGA Awarded,1,$413.41 ,$330.73 , $-   ,2000
409a,South Boston Piers Phase I (MOS-2),1994,FFGA Awarded,1,$513.41 ,$330.73 ,$82.68 ,2002
409a,South Boston Piers Phase I (MOS-2),1994,FFGA Awarded,1,$601.00 ,$330.73 ,$150.07 ,2002
409a,South Boston Piers Phase I (MOS-2),2004,Project Opening,1,$600.90 ,$330.73 ,NAV,2004
409b,South Boston Piers Phase II,1994,Preliminary Engineering,1.5,$300.00 ,$240.00 , $-   ,2008
409b,South Boston Piers Phase II,1994,FFGA Awarded,1.5,$258.00 ,$206.40 , $-   ,2008
409b,South Boston Piers Phase II,1994,FFGA Awarded,1.5,$363.70 ,$291.00 , $-   ,2008
409c,Silver Line Phase III,2002,Preliminary Engineering,1.5,$951.90 ,$571.10 , NAV ,NAV
409c,Silver Line Phase III,2002,Preliminary Engineering,1,$756.00 ,$378.00 , NAV ,NAV
409c,Silver Line Phase III,2002,Preliminary Engineering,1,$780.50 ,$468.30 , NAV ,NAV
409c,Silver Line Phase III,2006,Preliminary Engineering,1.4,"$1,167.32 ",$699.23 , $-   ,NAV
409c,Silver Line Phase III,2008,Preliminary Engineering,1.4,"$2,106.54 ","$1,261.82 ", $-   ,NAV
409c,Silver Line Phase III,2010,Project Cancelled,,,,,
410,Green Line Extension ,2012,Preliminary Engineering,4.3,"$1,334.62 ",$557.07 , $-   ,NAV
410,Green Line Extension ,2014,Preliminary Engineering,4.7,"$1,656.56 ",$714.41 , $-   ,2019
410,Green Line Extension ,2015,FFGA Awarded,4.7,"$2,297.62 ",$996.12 , $-   ,2021
411,Lowell-Nashua Commuter Rail Extension ,2000,Preliminary Engineering,12,$41.00 ,$18.00 ,$14.50 ,NAV
412,Burlington to Charlotte Corridor ,1995,NAV,12,$7.68 ,$5.58 ,$0.70 ,NAV
412,Burlington to Charlotte Corridor ,1996,Preliminary Engineering,12,$8.78 ,$6.58 ,$0.70 ,NAV
413,Burlington-Essex Commuter Rail Project,2002,Preliminary Engineering,8,$25.20 ,$19.40 ,$0.72 ,NAV
414,Queens Connector,1994,FFGA Awarded,0.33,$645.00 ,$306.10 ,$22.68 ,2001
415,Long Island Rail Road Access to Manhattan's East Side ,1998,Preliminary Engineering,4,"$4,350.00 ","$2,175.00 ", $-   ,NAV
415,Long Island Rail Road Access to Manhattan's East Side ,2000,Preliminary Engineering,4,"$4,344.00 ","$2,172.00 ", $-   ,NAV
415,Long Island Rail Road Access to Manhattan's East Side ,2002,Final Design,3.5,"$5,264.00 ","$2,632.00 ", NAV ,2011
415,Long Island Rail Road Access to Manhattan's East Side ,2002,Final Design,3.5,"$7,779.30 ","$2,632.10 ",$39.40 ,2012
415,Long Island Rail Road Access to Manhattan's East Side ,2006,FFGA Awarded,3.5,"$7,386.00 ","$2,632.11 ",$50.44 ,2013
416a,Second Avenue Subway Phase 1,2001,Preliminary Engineering,8,"$16,809.00 ","$8,385.00 ", NAV ,NAV
416a,Second Avenue Subway Phase 1,2001,Preliminary Engineering,8,"$16,808.50 ","$8,404.30 ", NAV ,NAV
416b,Second Avenue Subway MOS,2001,Preliminary Engineering,2.3,"$4,292.70 ","$1,300.00 ", NAV ,2011
416b,Second Avenue Subway MOS,2001,Preliminary Engineering,2.3,"$4,947.80 ","$1,300.00 ",$45.30 ,2014
416b,Second Avenue Subway MOS,2006,Final Design,2.3,"$4,655.42 ","$1,300.00 ",$45.30 ,NAV
416b,Second Avenue Subway MOS,2007,FFGA Awarded,2.3,"$4,866.61 ","$1,300.00 ",$50.69 ,2014
416c,Second Avenue Subway Phase 2,2016,Project Development,1.8,"$6,390.31 ","$2,000.00 ", $-   ,2027
417,Canarsie Line Power Improvements,2017,Engineering,6,$372.91 ,$100.00 , $-   ,2020
418,Woodhaven Select Bus Service ,2015,Project Development,6.1,$258.84 ,$97.17 , $-   ,2029
419,Washington/Western Bus Rapid Transit Line,2014,Project Development,8.5,$81.18 ,$60.89 , $-   ,2022
420,River Corridor/Blue Line Bus Rapid Transit ,2015,Project Development,16,$45.27 ,$29.52 ,$6.14 ,2019
