ID,Name,Year of initial milestone,Number of stations,Project type,Funding program,City,State,Mode
200,Mason Transportation Corridor,2001,15,Expansion,New Starts,Fort Collins,Colorado,Bus Rapid Transit
201,San Fernando Valley East-West Transit Corridor,2000,NAV,Introduction,New Starts,Los Angeles,California,Bus Rapid Transit
202,Mid-city/ Exposition LRT,2001,2,Expansion,New Starts,Los Angeles,California,Light Rail
203,East Central Corridor,1993,7,Expansion,New Starts,Los Angeles,California,Light Rail
204,Eastside Corridor LRT,2000,8,Introduction of New Mode,New Starts,Los Angeles,California,Light Rail
811-b,MOS-2,1990,,Expansion of Existing System,New Starts,Los Angeles,California,Heavy Rail
811-c1,MOS-3 Eastside Corridor,1993,,Expansion of Existing System,New Starts,Los Angeles,California,Heavy Rail
811-c2,MOS-3-North Hollywood Extension,1997,,Expansion of Existing System,New Starts,Los Angeles,California,Heavy Rail
811-c3,MOS-3- The Mid-City Extension,1993,,Expansion of Existing System,New Starts,Los Angeles,California,Heavy Rail
811-c,MOS-3 ,1993,,Expansion of Existing System,New Starts,Los Angeles,California,Heavy Rail
851,LOSSAN Rail Corridor Improvement Project ,,,Improvement of Existing Service,New Starts,Los Angeles,California,Commuter Rail
,Metro Gold Line Eastside Extension ,2004,,Expansion of Existing System,New Starts,Los Angeles,California,Light Rail
I,Regional Connector,2011,,Introduction of New Mode,New Starts,Los Angeles,California,Light Rail
,Westside Subway Section 1 ,,,,,Los Angeles,California,Heavy Rail
,Regional Connector Transit Corridor,2011,,Expansion of Existing System,New Starts,Los Angeles,California,Light Rail
,Westside Subway Extension Section 1,2011,,Expansion of Existing System,New Starts,Los Angeles,California,Heavy Rail
,Westside Purple Line Extension Section 1,2012,,Expansion of Existing System,New Starts,Los Angeles,California,Heavy Rail
,Westside Purple Line Extension Section 2,2014,,Expansion of Existing System,New Starts,Los Angeles,California,Heavy Rail
,Westside Purple Line Extension Section 3,2018,,Expansion of Existing System,New Starts,Los Angeles,California,Heavy Rail
,Downtown Los Angeles Streetcar,2013,,Introduction of New Mode,Small Starts,Los Angeles,California,Streetcar
,,2000,,Introduction of New Mode,New Starts,Los Angeles,California,Bus Rapid Transit
