ID,Name,Year of initial milestone,Number of stations,Project type,Funding program,City,State,Mode
501,Douglas Branch Reconstruction,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007
502,Union-Pacific West Line Extension,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002
503,Little Rock River Rail Project,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000
504,Cenral Phoenix East Valley Light Rail,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002
505,South Central Phoenix LRT/Downtown Hub,PP,PP,PP,PP,PP,PP,PP
506,Northwest Phase II LRT Extension,PP,PP,PP,PP,PP,PP,PP
507,Modern Streetcar Project,AR-2011,AR-2011,AR-2011,AR-2011,AR-2011,AR-2011,AR-2011
508,Tempe Streetcar,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014
509,Central Mesa Light Rail Transit Extension,BA,BA,BA,BA,BA,BA,BA
510,Transit Spine BRT,PP,PP,PP,PP,PP,PP,PP
511,Mountain Link BRT Project,BA,BA,BA,BA,BA,BA,BA
512,Northstar Corridor Rail,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002
513,Southwest Light Rail Transit,PP,PP,PP,PP,PP,PP,PP
514,METRO Blue Line Extension,AR-2016,AR-2016,AR-2016,AR-2016,AR-2016,AR-2016,AR-2016
515,METRO Orange Line Bus Rapid Transit Project,AR-2016,AR-2016,AR-2016,AR-2016,AR-2016,AR-2016,AR-2016
516,Hiawatha Corridor LRT,AR-2005,AR-2005,AR-2005,AR-2005,AR-2005,AR-2005,AR-2005
517,Central Corridor LRT,BA,BA,BA,BA,BA,BA,BA
518,METRO Gold Bus Rapid Transit,PP,PP,PP,PP,PP,PP,PP
519,Rochester Downtown Circulator Bus Rapid Transit,PP,PP,PP,PP,PP,PP,PP
520,Wilmington to Newark Commuter Rail Improvements,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007
521,LYNX Blue Line Extension - Northeast Corridor,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013
522,CityLYNX Gold Line Phase 2 Streetcar,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015
523,Blue Line Capacity Expansion,PP,PP,PP,PP,PP,PP,PP
524,South Corridor Light Rail Project,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002
525,Durham-Orange LRT,PP,PP,PP,PP,PP,PP,PP
526,Regional Rail System,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002
527,North-South BRT,PP,PP,PP,PP,PP,PP,PP
528,Wake Bus Rapid Transit,PP,PP,PP,PP,PP,PP,PP
529,Lowcountry Rapid Transit Project,PP,https://lowcountryrapidtransit.com/,PP,PP,PP,PP,PP
530,IndyGO Purple Line BRT,PP,PP,PP,PP,PP,PP,PP
531,Red Line All-Electric BRT,PP,PP,PP,PP,PP,PP,PP
532,IndyGO Blue Line Rapid Transit,PP,PP,PP,PP,PP,PP,PP
533,West Lake Corridor,PP,PP,PP,PP,PP,PP,PP
534,South Shore Line /Double Track Northwest Indiana,PP,PP,PP,PP,PP,PP,PP
535,New Britain Hartford Busway,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001
536,Urban Transitway Phase II,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010
537,Urban Transitway Phase I,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002
538,Bridgeport Innermodal Transportation Center Phase 2B and 3,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002
539,High Capacity Transit Corridor Project,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013
540,Primary Corridor Transportation Project,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002
541,Silver Line BRT,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014
542,Laker Line BRT,PP,PP,PP,PP,PP,PP,PP
543,Michigan/Grand River BRT,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014
544,Central Avenue Corridor/Albuquerque Rapid Transit BRT Project,PP,PP,PP,PP,PP,PP,PP
545,4th Street/Prater Way BRT Project,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015
546,Virginia Street BRT Extension Project,PP,PP,PP,PP,PP,PP,PP
547,Resort Corridor Fixed Guideway,PP,PP,PP,PP,PP,PP,PP
