ID,Name,Year of initial milestone,Number of stations,Project type,Funding program,City,State,Mode
200,Mason Transportation Corridor,AR-2003,AR-2005,AR-2003,AR-2003,AR-2003,AR-2003,AR-2003
201,San Fernando Valley East-West Transit Corridor,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002
202,Mid-city/ Exposition LRT,AR-2003,AR-2003,AR-2003,AR-2003,AR-2003,AR-2003,AR-2003
203,East Central Corridor,AR-1995,AR-1995,AR-1995,AR-1995,AR-1995,AR-1995,AR-1995
204,Eastside Corridor LRT,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002
205,MOS-3 ,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997
205a,MOS-3 North Hollywood Extension,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997
205b,MOS-3 East Side Extension,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997
205c,MOS-3 The Mid-City Extension,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997
206,Eastside Corridor Extension Phase 2,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997
207,LOSSAN Rail Corridor Improvement Project ,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997
208,Metro Gold Line Eastside Extension ,BA-2013,BA-2013,BA-2013,BA-2013,BA-2013,BA-2013,BA-2013
209,Regional Connector,PP-2018,PP-2018,PP-2018,PP-2018,PP-2018,PP-2018,PP-2018
210,Westside Subway Extension Section 1,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013
211,Westside Purple Line Extension Section 1,PP-2020,PP-2020,PP-2020,PP-2020,PP-2020,PP-2020,PP-2020
212,Westside Purple Line Extension Section 2,PP-2020,PP-2020,PP-2020,PP-2020,PP-2020,PP-2020,PP-2020
213,Westside Purple Line Extension Section 3,PP-2019,PP-2019,PP-2019,PP-2019,PP-2019,PP-2019,PP-2019
214,Downtown Los Angeles Streetcar,AR-2016,AR-2016,AR-2016,AR-2016,AR-2016,AR-2016,AR-2016
215,BART Airport Extension ,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997
216,San Francisco (Bayshore) ,AR-1998,NAV,AR-1998,AR-1998,AR-1998,AR-1998,AR-1998
217,Central Subway LRT ,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007
218,Third Street Light Rail Phase 1 ,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002
219,Third Street Light Rail Phase 2 – Central Subway,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013
220,Van Ness Avenue BRT ,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014
