ID,Name,Year of initial milestone,Number of stations,Project type,Funding program,City,State,Mode,Other1,Other2
100,Downtown-Uptown-Oakland-East End BRT Project ,PP19,PP19,PP19,PP19,PP19,PP19,PP19,,
101,Corridor one Rail MOS,AR05,AR07,AR07,AR07,AR07,AR07,AR07,,
102,Schuylkill Valley Metro Rail,AR07,AR07,AR07,AR07,AR07,AR07,AR07,,
103,South/North Corridor (MOS-1),AR97,AR00,AR00,AR00,AR97,AR97,AR97,,
104,"Portland, Oregon/Westside-Hillsboro Corridor ",AR97,AR97,AR97,AR97,AR97,AR97,AR97,,
105,Westside Light Rail to 185th,AR97,AR97,AR97,AR97,AR97,AR97,AR97,,
106,South Corridor I-205 / Portland Mall LRT ,AR07,AR10,AR07,AR07,AR07,AR07,AR07,,
107,Portland-Milwaukie Light Rail Project,AR10,AR10,AR10,AR10,AR10,AR10,AR10,,
108,Columbia River Crossing Project,AR14,AR14,AR14,AR14,AR14,AR14,AR14,,
109,Columbia River Crossing Project,AR15,AR15,AR15,AR15,AR15,AR15,AR15,,
110,Powell-Division Transit and Development ,PP18,PP18,PP18,PP18,PP18,PP18,PP18,,
111,TriMet Interstate MAX Light Rail ,BA08,AR02,AR02,AR02,AR02,AR02,AR02,Before and After 2008,
112,MAX Red Line Extension and Reliability Improvements,PP19,PP19,PP19,PP19,PP19,PP19,PP19,,
113,Westside Express Service Rail Project ,AR02,AR02,AR02,AR02,AR02,AR02,AR02,"Also, BA13",Aka Wilsonville-Beaverton Commuter Rail
114,Green Line Light Rail Project ,BA14,BA14,BA14,BA14,BA14,BA14,BA14,,
115,Streetcar Loop Project ,BA16,BA16,BA16,BA16,BA16,BA16,BA16,,
117,Southwest Corridor Light Rail Transit Project,PP19,PP19,PP19,PP19,PP19,PP19,PP19,,
118,Pioneer Parkway EmX BRT ,AR10,AR10,AR10,AR10,AR10,AR10,AR10,,
119,West Eugene EmX Extension,AR14,AR14,AR14,AR14,AR14,AR14,AR14,,
120,Cleveland (Euclid Corridor) ,AR05,AR02,AR02,AR02,AR02,AR02,AR05,,
121,Interstate 71 corridor (MOS-1),AR02,AR02,AR02,AR02,AR02,AR02,AR02,,
122,Northeast Corridor BRT Project,AR14,AR14,AR14,AR14,AR14,AR14,AR14,,
123,Northeast Corridor LRT ,AR05,AR05,AR05,AR05,AR05,AR05,AR05,,
124,Cleveland Avenue Bus Rapid Transit,AR14,AR14,AR14,AR14,AR14,AR14,AR14,,
125,"Craig, Alaska (Alaska-Hollis Ketchikan Ferry) ",https://dot.alaska.gov/sereg/projects/juneau_access/assets/2014_DSEIS/Executive_Summary.pdf,https://dot.alaska.gov/sereg/projects/juneau_access/2014DraftSeisDocuments.shtml,,,,,,,
126,Alaska Rail Road - South Wasilla Track Realignment ,AR05,AR05,AR05,AR05,AR05,AR05,AR05,,
127,South Anchorage Double Track ,AR03,AR03,AR03,AR03,AR03,AR03,AR03,,
128,Alaska Marine Highway System ,https://omb.alaska.gov/ombfiles/20_budget/Trans/Enacted/2020proj30624.pdf,,,,,,,,
129,Norfolk -Virginia Beach Corridor  (First phase),,,,,,,,,
130,Norfolk LRT - The Tide Light Rail,BA15,BA15,BA15,BA15,BA15,BA15,BA15,,
131,West End Transitway,PA18,PA18,PA18,PA18,PA18,PA18,PA18,,
132,Richmond Highway BRT Project,AR22,AR22,AR22,AR22,AR22,AR22,AR22,,
133,Seattle-Tacoma Sounder Commuter Rail ,AR00,AR00,AR00,AR00,AR00,AR00,AR00,,
134,Central Link Initial Segment (Initial),BA13,BA13,BA13,BA13,BA13,BA13,BA13,,
135,Roosevelt RapidRide BRT ,AR19,AR19,AR19,AR19,AR19,AR19,AR19,,
136,University Link LRT Extension,AR07,OTHER,AR07,AR07,AR07,AR07,AR07,Press release: https://www.transit.dot.gov/about/news/secretary-foxx-celebrates-opening-university-link-expanding-light-rail-service-seattle,
137,Lynnwood Link Extension,AR15,AR15,AR15,AR15,AR15,AR15,AR15,,
138,Center City Connector Streetcar,AR16,"PP20, AR16",AR16,AR16,AR16,AR16,AR16,,
139,Sound Transit-Federal Way Link Extension,AR18,PP21,AR18,AR18,AR18,AR18,AR18,,
140,Madison Street Corridor BRT,PP19,PP19,PP19,PP19,PP19,PP19,PP19,,
141,Link Extension and North Link,AR15,AR15,AR15,AR15,AR15,AR15,AR15,,
142,Airport Link,BA13,BA13,BA13,BA13,BA13,BA13,BA13,,
143,North Link,,,,,,,,,
144,Everett to Seattle Commuter Rail,AR00,AR98,AR98,AR98,AR98,AR98,AR98,,
145,Federal Way Link Extension,AR18,AR18,AR18,AR18,AR18,AR18,AR18,,
146,Rapid Ride I,AR21,AR21,AR21,AR21,AR21,AR21,AR21,,
147,Rapid Ride K,AR21,AR21,AR21,AR21,AR21,AR21,AR21,,
148,Mill Plain Bus Rapid Transit,AR20,AR20,AR20,AR20,AR20,AR20,AR20,,
