ID,Name,Year of initial milestone,Number of stations,Project type,Funding program,City,State,Mode,Other1,Other2
100,Downtown-Uptown-Oakland-East End BRT Project ,PP19,PP19,PP19,PP19,PP19,PP19,PP19,,
101,Corridor one Rail MOS,AR05,AR07,AR07,AR07,AR07,AR07,AR07,,
102,Schuylkill Valley Metro Rail,AR07,AR07,AR07,AR07,AR07,AR07,AR07,,
103,South/North Corridor (MOS-1),AR97,AR00,AR00,AR00,AR97,AR97,AR97,,
104,"Portland, Oregon/Westside-Hillsboro Corridor ",AR97,AR97,AR97,AR97,AR97,AR97,AR97,,
105,Westside Light Rail to 185th,AR97,AR97,AR97,AR97,AR97,AR97,AR97,,
106,South Corridor I-205 / Portland Mall LRT ,AR07,AR10,AR07,AR07,AR07,AR07,AR07,,
107,Portland-Milwaukie Light Rail Project,AR10,AR10,AR10,AR10,AR10,AR10,AR10,,
108,Columbia River Crossing Project,AR14,AR14,AR14,AR14,AR14,AR14,AR14,,
109,Columbia River Crossing Project,AR15,AR15,AR15,AR15,AR15,AR15,AR15,,
110,Powell-Division Transit and Development ,PP18,PP18,PP18,PP18,PP18,PP18,PP18,,
111,TriMet Interstate MAX Light Rail ,BA08,AR02,AR02,AR02,AR02,AR02,AR02,Before and After 2008,
112,MAX Red Line Extension and Reliability Improvements,PP19,PP19,PP19,PP19,PP19,PP19,PP19,,
113,Westside Express Service Rail Project ,AR02,AR02,AR02,AR02,AR02,AR02,AR02,"Also, BA13",Aka Wilsonville-Beaverton Commuter Rail
114,Green Line Light Rail Project ,BA14,BA14,BA14,BA14,BA14,BA14,BA14,,
115,Streetcar Loop Project ,BA16,BA16,BA16,BA16,BA16,BA16,BA16,,
117,Southwest Corridor Light Rail Transit Project,PP19,PP19,PP19,PP19,PP19,PP19,PP19,,
118,Pioneer Parkway EmX BRT ,AR10,AR10,AR10,AR10,AR10,AR10,AR10,,
119,West Eugene EmX Extension,AR14,AR14,AR14,AR14,AR14,AR14,AR14,,
120,Cleveland (Euclid Corridor) ,AR02,AR02,AR02,AR02,AR02,AR02,AR02,,
121,Interstate 71 corridor (MOS-1),AR02,AR02,AR02,AR02,AR02,AR02,AR02,,
122,Northeast Corridor BRT Project,AR14,AR14,AR14,AR14,AR14,AR14,AR14,,
123,Northeast Corridor LRT ,AR05,AR05,AR05,AR05,AR05,AR05,AR05,,
124,Cleveland Avenue Bus Rapid Transit,,,,,,,,,
125,"Craig, Alaska (Alaska-Hollis Ketchikan Ferry) ",,,,,,,,,
126,Alaska Rail Road - South Wasilla Track Realignment ,,,,,,,,,
127,South Anchorage Double Track ,,,,,,,,,
128,Alaska Marine Highway System ,,,,,,,,,
129,Norfolk -Virginia Beach Corridor  (First phase),,,,,,,,,
130,Norfolk LRT - The Tide Light Rail,,,,,,,,,
131,West End Transitway,,,,,,,,,
132,Richmond Highway BRT Project,,,,,,,,,
133,Seattle-Tacoma Sounder Commuter Rail ,,,,,,,,,
134,Central Link Initial Segment (Initial),,,,,,,,,
135,Roosevelt RapidRide BRT ,,,,,,,,,
136,University Link LRT Extension,,OTHER,AR07,AR07,AR07,AR07,AR07,Press release: https://www.transit.dot.gov/about/news/secretary-foxx-celebrates-opening-university-link-expanding-light-rail-service-seattle,
137,Lynnwood Link Extension,AR15,AR15,AR15,AR15,AR15,AR15,AR15,,
138,Center City Connector Streetcar,AR16,"PP20, AR16",AR16,AR16,AR16,AR16,AR16,,
139,Sound Transit-Federal Way Link Extension,AR18,PP21,AR18,AR18,AR18,AR18,AR18,,
140,Madison Street Corridor BRT,PP19,PP19,PP19,PP19,PP19,PP19,PP19,,
141,Link Extension and North Link,,,,,,,,,
142,Airport Link,,,,,,,,,
143,North Link,,,,,,,,,
144,Everett to Seattle Commuter Rail,,,,,,,,,
145,Federal Way Link Extension,,,,,,,,,
146,Rapid Ride I,,,,,,,,,
147,Rapid Ride K,,,,,,,,,
148,Mill Plain Bus Rapid Transit,,,,,,,,,
149,Fourth Plain Bus Rapid Transit,,,,,,,,,
150,Swift II,,,,,,,,,
151,Tacoma Link Light Rail Expansion,,,,,,,,,
152,Lakewood to Tacoma Commuter Rail,,,,,,,,,
153,Pacific Avenue/SR 7 Corridor,,,,,,,,,
154,Central City Line,,,,,,,,,
155,Metra North Central Corridor,,,,,,,,,
156,Metra South West Corridor,,,,,,,,,
157,Central Area Circulator,,,,,,,,,
158,Ravenswood Line Extension,,,,,,,,,
159,Ashland Avenue BRT Phase I,,,,,,,,,
160,Red and Purple Line Modernization Project ,,,,,,,,,
161,Red and Purple Line Modernization Project Phase I,,,,,,,,,
