ID,ID (letter),Name,Year of initial milestone,Number of stations,Project type,Funding program,Sponsor_1,Sponsor ID_1,Sponsor_2,Sponsor ID_2,City,State,Mode,Author
100,,Downtown-Uptown-Oakland-East End Bus Rapid Transit,PP19,PP19,PP19,PP19,PP19,NTD,,,PP19,PP19,PP19,cam
101,,Corridor one Rail MOS,AR05,AR07,AR07,AR07,,NTD,,,AR07,AR07,AR07,cam
102,,Schuylkill Valley Metro Rail,AR07,AR07,AR07,AR07,,NTD,,,AR07,AR07,AR07,cam
103,,South/North Corridor (MOS-1),AR97,AR00,AR00,AR00,,NTD,,,AR97,AR97,AR97,cam
104,,"Portland, Oregon/Westside-Hillsboro Corridor ",AR97,AR97,AR97,AR97,,NTD,,,AR97,AR97,AR97,cam
105,,Westside Light Rail to 185th,AR97,AR97,AR97,AR97,,NTD,,,AR97,AR97,AR97,cam
106,,South Corridor I-205 / Portland Mall LRT ,AR07,AR10,AR07,AR07,AR08,NTD,AR08,NA,AR07,AR07,AR07,cam
107,,Portland-Milwaukie Light Rail Project,AR10,AR10,AR10,AR10,AR16,NTD,,,AR10,AR10,AR10,cam
108,,Columbia River Crossing Project,AR14,AR14,AR14,AR14,,NTD,,,AR14,AR14,AR14,cam
109,,Columbia River Crossing Project,AR15,AR15,AR15,AR15,AR15,NA,AR15,NTD,AR15,AR15,AR15,cam
110,,Powell-Division Transit and Development ,PP18,PP18,PP18,PP18,,NTD,,,PP18,PP18,PP18,cam
111,,TriMet Interstate MAX Light Rail ,BA08,AR04,AR02,AR02,BA08,NTD,,,AR02,AR02,AR02,cam
112,,MAX Red Line Extension and Reliability Improvements,AR21,PP19,AR21,AR21,PP19,NTD,NA,NA,AR21,AR21,AR21,cam
113,,Westside Express Service Rail Project ,AR02,AR02,AR02,AR02,,NTD,,,AR02,AR02,AR02,cam
114,,Green Line Light Rail Project ,BA14,BA14,BA14,BA14,,NTD,,,BA14,BA14,BA14,cam
115,,Streetcar Loop Project ,BA16,BA16,BA16,BA16,,NTD,,,BA16,BA16,BA16,cam
117,,Southwest Corridor Light Rail Transit Project,PP19,PP19,PP19,PP19,,NTD,,,PP19,PP19,PP19,cam
118,,Pioneer Parkway EmX BRT ,AR10,AR10,AR10,AR10,,NTD,,,AR10,AR10,AR10,cam
119,,West Eugene EmX Extension,AR14,AR14,AR14,AR14,,NTD,,,AR14,AR14,AR14,cam
120,,Cleveland (Euclid Corridor) ,AR05,AR02,AR02,AR02,,NTD,,,AR02,AR02,AR05,cam
121,,Interstate 71 corridor (MOS-1),AR02,AR02,AR02,AR02,AR02,NA,,,AR02,AR02,AR02,cam
122,,Cleveland Avenue Bus Rapid Transit (aka Northeast Corridor BRT Project),AR14,AR16,AR14,AR14,AR14,NTD,NA,NA,AR14,AR14,AR14,cam
123,,Northeast Corridor LRT ,AR05,AR05,AR05,AR05,,NTD,,,AR05,AR05,AR05,cam
126,,Alaska Rail Road - South Wasilla Track Realignment ,AR05,AR05,AR05,AR05,,NTD,,,AR05,AR05,AR05,cam
127,,South Anchorage Double Track ,AR03,AR03,AR03,AR03,,NTD,,,AR03,AR03,AR03,cam
129,,Norfolk -Virginia Beach Corridor,AR00,AR00,AR00,AR00,AR00,NTD,NA,NA,AR00,AR00,AR00,cam
130,,Norfolk LRT - The Tide Light Rail,BA15,BA15,BA15,BA15,,NTD,,,BA15,BA15,BA15,cam
131,,West End Transitway,PP18,PP18,PP18,PP18,PP18,NA,,,PA18,PA18,PA18,cam
132,,Richmond Highway BRT Project,AR22,AR22,AR22,AR22,,NTD,,,AR22,AR22,AR22,cam
133,,Seattle-Tacoma Sounder Commuter Rail ,AR00,AR00,AR00,AR00,,NTD,,,AR00,AR00,AR00,cam
134,,Central Link Initial Segment (Initial),BA13,BA13,BA13,BA13,BA13,NTD,,,BA13,BA13,BA13,cam
135,,Roosevelt RapidRide BRT ,AR19,AR19,AR19,AR19,,NTD,,,AR19,AR19,AR19,cam
136,,University Link LRT Extension,BA21,BA21,BA21,BA21,BA21,NTD,,,AR07,AR07,AR07,cam
137,,Lynnwood Link Extension,PP21,PP21,PP21,PP21,PP21,NTD,,,PP21,PP21,PP21,cam
138,,Center City Connector Streetcar,AR16,PP20,AR16,AR16,,NTD,,,AR16,AR16,AR16,cam
139,,Federal Way Link Extension,PP21,PP21,PP21,PP21,PP21,NTD,,,AR18,AR18,AR18,cam
140,,Madison Street Corridor BRT,PP19,PP19,PP19,PP19,,NTD,,,PP19,PP19,PP19,cam
144,,Everett to Seattle Commuter Rail,AR06,AR06,AR06,AR06,AR06,NTD,,,AR06,AR06,AR06,cam
146,,Rapid Ride I,AR21,AR21,AR21,AR21,,NTD,,,AR21,AR21,AR21,cam
147,,Rapid Ride K,AR21,AR21,AR21,AR21,,NTD,,,AR21,AR21,AR21,cam
148,,Mill Plain Bus Rapid Transit,AR20,AR20,AR20,AR20,,NTD,,,AR20,AR20,AR20,cam
149,,Fourth Plain Bus Rapid Transit,AR15,AR15,AR15,AR15,,NTD,,,AR15,AR15,AR15,cam
150,,Swift II,AR16,AR16,AR16,AR16,,NTD,,,AR16,AR16,AR16,cam
151,,Tacoma Link Light Rail Expansion,AR16,AR16,AR16,AR16,,NTD,,,AR16,AR16,AR16,cam
152,,Lakewood to Tacoma Commuter Rail,AR06,AR06,AR06,AR06,AR06,NTD,,,AR06,AR06,AR06,cam
153,,Pacific Avenue/SR 7 Corridor,AR20,AR20,AR20,AR20,,NTD,,,AR20,AR20,AR20,cam
154,,Central City Line,AR17,AR17,AR17,AR17,,NTD,,,AR17,AR17,AR17,cam
155,,Metra North Central Corridor,AR05,AR05,AR05,AR05,,NTD,,,AR05,AR05,AR05,cam
156,,Metra South West Corridor,AR05,AR05,AR05,AR05,,NTD,,,AR05,AR05,AR05,cam
157,,Central Area Circulator,AR97,AR97,AR97,AR97,,NTD,,,AR97,AR97,AR97,cam
158,,Ravenswood Line Extension,AR03,AR03,AR03,AR03,,NTD,,,AR03,AR03,AR03,cam
159,,Ashland Avenue BRT Phase I,AR16,AR16,AR16,AR16,AR16,NTD,,,AR15,AR15,AR15,cam
160,,Red and Purple Line Modernization Project ,AR15,AR15,AR15,AR15,,NTD,,,AR15,AR15,AR15,cam
161,,Red and Purple Line Modernization Project Phase I,AR16,AR16,AR16,AR16,,NTD,,,AR16,AR16,AR16,cam
200,,Mason Transportation Corridor,AR03,AR05,AR03,AR03,,NTD,,,AR03,AR03,AR03,am
201,,San Fernando Valley East-West Transit Corridor,AR02,AR02,AR02,AR02,,NTD,,,AR02,AR02,AR02,am
202,,Mid-city/ Exposition LRT,AR03,AR03,AR03,AR03,,NTD,,,AR03,AR03,AR03,am
203,,East Central Corridor,AR95,AR95,AR95,AR95,,NTD,,,AR95,AR95,AR95,am
204,,Eastside Corridor LRT,AR02,AR02,AR02,AR02,,NTD,,,AR02,AR02,AR02,am
205,,MOS-3 ,AR97,AR97,AR97,AR97,,NTD,,,AR97,AR97,AR97,am
205,b,MOS-3 East Side Extension,AR97,AR97,AR97,AR97,,NTD,,,AR97,AR97,AR97,am
205,a,MOS-3 North Hollywood Extension,AR97,AR97,AR97,AR97,,NTD,,,AR97,AR97,AR97,am
205,c,MOS-3 The Mid-City Extension,AR97,AR97,AR97,AR97,,NTD,,,AR97,AR97,AR97,am
206,,Eastside Corridor Extension Phase 2,AR97,AR97,AR97,AR97,,NTD,,,AR97,AR97,AR97,am
207,,LOSSAN Rail Corridor Improvement Project ,AR97,AR97,AR97,AR97,,NTD,,,AR97,AR97,AR97,am
208,,Metro Gold Line Eastside Extension ,BA13,BA13,BA13,BA13,,NTD,,,BA13,BA13,BA13,am
209,,Regional Connector,PP18,PP18,PP18,PP18,,NTD,,,PP18,PP18,PP18,am
210,,Westside Subway Extension Section 1,AR13,AR13,AR13,AR13,,NTD,,,AR13,AR13,AR13,am
211,,Westside Purple Line Extension Section 1,PP20,PP20,PP20,PP20,,NTD,,,PP20,PP20,PP20,am
212,,Westside Purple Line Extension Section 2,PP20,PP20,PP20,PP20,,NTD,,,PP20,PP20,PP20,am
213,,Westside Purple Line Extension Section 3,PP19,PP19,PP19,PP19,,NTD,,,PP19,PP19,PP19,am
214,,Downtown Los Angeles Streetcar,AR16,AR16,AR16,AR16,,NTD,,,AR16,AR16,AR16,am
215,,BART Airport Extension ,AR97,AR97,AR97,AR97,,NTD,,,AR97,AR97,AR97,am
216,,San Francisco (Bayshore) ,AR98,NAV,AR98,AR98,,NTD,,,AR98,AR98,AR98,am
217,,Central Subway LRT ,AR07,AR07,AR07,AR07,,NTD,,,AR07,AR07,AR07,am
218,,Third Street Light Rail Phase 1 ,AR02,AR02,AR02,AR02,,NTD,,,AR02,AR02,AR02,am
219,,Third Street Light Rail Phase 2 – Central Subway,AR13,AR13,AR13,AR13,,NTD,,,AR13,AR13,AR13,am
