ID,Name,Year of initial milestone,Number of stations,Project type,Funding program,City,State,Mode
501,Douglas Branch Reconstruction,1999,11,Improvement,New Starts,Chicago,Illinois,Heavy Rail
502,Union-Pacific West Line Extension,1998,2,Expansion,New Starts,Chicago,Illinois,Commuter
503,Little Rock River Rail Project,1998,7,Introduction,New Starts,Little Rock,Arkansas,Streetcar
504,Cenral Phoenix East Valley Light Rail,1998,28,Introduction,New Starts,Phoenix,Arizona,Light Rail
505,South Central Phoenix LRT/Downtown Hub,2017,9,Expansion,New Starts,Phoenix,Arizona,Light Rail
506,Northwest Phase II LRT Extension,2017,3,Expansion,New Starts,Phoenix,Arizona,Light Rail
507,Modern Streetcar Project,2007,18,Introduction,New Starts,Tucson,Arizona,Streetcar
508,Tempe Streetcar,2013,18,Introduction,Small Starts,Tempe,Arizona,Streetcar
509,Central Mesa Light Rail Transit Extension,2010,4,Expansion,Small Starts,Mesa,Arizona,Light Rail
510,Transit Spine BRT,2016,22,Introduction,Small Starts,Flagstaff,Arizona,Bus Rapid Transit
511,Mountain Link BRT Project,2009,21,Introduction,Very Small Starts,Flagstaff,Arizona,Bus Rapid Transit
512,Northstar Corridor Rail,2000,12,Introduction,New Starts,Minneapolis,Minnesota,Commuter
513,Southwest Light Rail Transit,2011,16,Expansion,New Starts,Minneapolis,Minnesota,Light Rail
514,METRO Blue Line Extension,2014,11,Expansion,New Starts,Minneapolis,Minnesota,Light Rail
515,METRO Orange Line Bus Rapid Transit Project,2014,11,Introduction,Small Starts,Minneapolis,Minnesota,Bus Rapid Transit
516,Hiawatha Corridor LRT,1999,17,Expansion,New Starts,St. Paul,Minnesota,Light Rail
517,Central Corridor LRT,2006,18,Expansion,New Starts,St. Paul,Minnesota,Light Rail
518,METRO Gold Bus Rapid Transit,2018,10,Introduction,New Starts,St. Paul,Minnesota,Bus Rapid Transit
519,Rochester Downtown Circulator Bus Rapid Transit,2020,11,Introduction,Small Starts,Rochester,Minnesota,Bus Rapid Transit
520,Wilmington to Newark Commuter Rail Improvements,2004,1,Improvement,New Starts,Wilimington,Delaware,Commuter
521,LYNX Blue Line Extension - Northeast Corridor,2007,11,Introduction,New Starts,Charlotte,North Carolina,Light Rail
522,CityLYNX Gold Line Phase 2 Streetcar,2014,11,Expansion,Small Starts,Charlotte,North Carolina,Streetcar
523,Blue Line Capacity Expansion,2015,11,Improvement,Core Capacity,Charlotte,North Carolina,Light Rail
524,South Corridor Light Rail Project,2000,19,Expansion,New Starts,Charlotte,North Carolina,Light Rail
525,Durham-Orange LRT,2014,18,Introduction,New Starts,Durham,North Carolina,Light Rail
526,Research Triangle Regional Rail System,1998,16,Introduction,New Starts,Durham,North Carolina,Commuter
527,North-South BRT,2016,16,Introduction,Small Starts,Chapel Hill,North Carolina,Bus Rapid Transit
528,Wake Bus Rapid Transit: New Bern Avenue Project,2019,10,Introduction,Small Starts,Raleigh,North Carolina,Bus Rapid Transit
529,Lowcountry Rapid Transit Project,2020,20,Introduction,New Starts,Charleston,South Carolina,Bus Rapid Transit
530,IndyGO Purple Line BRT,2017,23,Introduction,Small Starts,Indianapolis,Indiana,Bus Rapid Transit
531,Red Line All-Electric BRT,2015,28,Introduction,Small Starts,Indianapolis,Indiana,Bus Rapid Transit
532,IndyGO Blue Line Rapid Transit,2019,36,Introduction,Small Starts,Indianapolis,Indiana,Bus Rapid Transit
533,West Lake Corridor,2016,4,Expansion,New Starts,Hammond,Indiana,Commuter
534,South Shore Line /Double Track Northwest Indiana,2016,5,Improvement,Core Capacity,Gary,Indiana,Commuter
535,New Britain Hartford Busway,2000,12,Introduction,New Starts,Hartford,Connecticut,Bus Rapid Transit
536,Urban Transitway Phase II,2006,5,Expansion,New Starts,Stamford,Connecticut,Transitway
537,Urban Transitway Phase I,2000,0,Improvement,New Starts,Stamford,Connecticut,Transitway
538,Bridgeport Innermodal Transportation Center Phase 2B and 3,2001,1,Expansion,New Starts,Bridgeport,Connecticut,Intermodal
539,High Capacity Transit Corridor Project,2011,21,Introduction,New Starts,Honolulu,Hawaii,Transitway
540,Primary Corridor Transportation Project,2001,20,Introduction,New Starts,Honolulu,Hawaii,Bus Rapid Transit
541,Division Avenue BRT,2007,18,Introduction,Very Small Starts,Grand Rapids,Michigan,Bus Rapid Transit
542,Laker Line BRT,2015,11,Introduction,Small Starts,Grand Rapids,Michigan,Bus Rapid Transit
543,Michigan/Grand River BRT,2013,28,Introduction,Small Starts,Lansing,Michigan,Bus Rapid Transit
544,Central Avenue Corridor/Albuquerque Rapid Transit BRT Project,2014,20,Introduction,Small Starts,Albuquerque,New Mexico,Bus Rapid Transit
545,4th Street/Prater Way BRT Project,2013,8,Introduction,Small Starts,Reno,Nevada,Bus Rapid Transit
546,Virginia Street BRT Extension Project,2014,4,Expansion,Small Starts,Reno,Nevada,Bus Rapid Transit
547,Resort Corridor Fixed Guideway,1998,7,Expansion,New Starts,Las Vegas,Nevada,Bus Rapid Transit
548,Maryland Parkway High Capacity Transit Project,2020,14,Introduction,New Starts,Las Vegas,Nevada,Bus Rapid Transit
