ID,ID (letter),Name,Year of initial milestone,Number of stations,Project type,Funding program,City,State,Mode,Author
100,,Downtown-Uptown-Oakland-East End BRT Project ,2017,46,Introduction,Small Starts,Pittsburgh,PA,BRT,cam
101,,Corridor one Rail MOS,2002,6,Introduction,New Starts,Harrisburg,PA,Commuter rail,cam
102,,Schuylkill Valley Metro Rail,2002,20,Introduction,New Starts,Philadelphia,PA,Commuter rail,cam
103,,South/North Corridor (MOS-1),1996,20,Introduction,New Starts,Portland,OR,LRT,cam
104,,"Portland, Oregon/Westside-Hillsboro Corridor ",1994,20,Introduction,New Starts,Portland,OR,LRT,cam
105,,Westside Light Rail to 185th,1992,NAV,Introduction,New Starts,Portland,OR,LRT,cam
106,,South Corridor I-205 / Portland Mall LRT ,2004,22,Expansion,New Starts,Portland,OR,LRT,cam
107,,Portland-Milwaukie Light Rail Project,2009,10,Expansion,New Starts,Portland,OR,LRT,cam
108,,Columbia River Crossing Project,2009,NAV,Expansion,New Starts,Portland,OR,LRT,cam
109,,Columbia River Crossing Project,2014,NAV,Expansion,New Starts,Portland,OR,LRT,cam
110,,Powell-Division Transit and Development ,2015,NAV,Introduction,Small Starts,Portland,OR,BRT,cam
111,,TriMet Interstate MAX Light Rail ,1996,,Expansion,Small Starts,Portland,OR,LRT,cam
112,,MAX Red Line Extension and Reliability Improvements,2019,,Improvement,Small Starts,Portland,OR,LRT,cam
113,,Westside Express Service Rail Project ,2000,5,Introduction,New Starts,Portland,OR,Commuter rail,cam
114,,Green Line Light Rail Project ,2004,,Expansion,New Starts,Portland,OR,LRT,cam
115,,Streetcar Loop Project ,2007,28,Expansion,Small Starts,Portland,OR,Streetcar,cam
117,,Southwest Corridor Light Rail Transit Project,2019,13,Expansion,New Starts,Portland,OR,LRT,cam
118,,Pioneer Parkway EmX BRT ,2006,14,Expansion,Small Starts,Springfield,OR,BRT,cam
119,,West Eugene EmX Extension,2012,13,Expansion,Small Starts,Eugene,OR,BRT,cam
120,,Cleveland (Euclid Corridor) ,1997,22,Improvement,New Starts,Cleveland,OH,BRT,cam
121,,Interstate 71 corridor (MOS-1),1998,24,Introduction,New Starts,Cincinatti,OH,LRT,cam
122,,Northeast Corridor BRT Project,2013,,Improvement,Small Starts,Columbus,OH,BRT,cam
123,,North Corridor LRT ,2001,14,Introduction,New Starts,Columbus,OH,LRT,cam
124,,Cleveland Avenue Bus Rapid Transit,2013,,Improvement,Small Starts,Columbus,OH,BRT,cam
125,,"Craig, Alaska (Alaska-Hollis Ketchikan Ferry) ",,1,Introduction,New Starts,Craig,AK,Ferry,cam
126,,Alaska Rail Road - South Wasilla Track Realignment ,2000,NA,Improvement,New Starts,Wasilla,AK,Commuter rail,cam
127,,South Anchorage Double Track ,2000,NA,Improvement,New Starts,Anchorage,AK,Commuter rail,cam
128,,Alaska Marine Highway System ,2001,NA,Improvement,New Starts,Prince William Sound,AK,Ferry,cam
129,,Norfolk -Virginia Beach Corridor  (First phase),1997,13,Introduction,New Starts,Norfolk,VA,LRT,cam
130,,Norfolk LRT - The Tide Light Rail,2002,11,Expansion,New Starts,Norfolk,VA,LRT,cam
131,,West End Transitway,2016,15,Introduction,Small Starts,Alexandria,VA,BRT,cam
132,,Richmond Highway BRT Project,2020,9,Introduction,New Starts,Fairfax County,VA,BRT,cam
133,,Seattle-Tacoma Sounder Commuter Rail ,1998,8,Introduction,New Starts,Seattle,WA,Commuter rail,cam
134,,Central Link Initial Segment (Initial),1997,11,Introduction,New Starts,Seattle,WA,LRT,cam
135,,Roosevelt RapidRide BRT ,2017,13,Expansion,Small Starts,Seattle,WA,BRT,cam
136,,University Link LRT Extension,2005,2,Expansion,New Starts,Seattle,WA,LRT,cam
137,,Lynnwood Link Extension,2013,4,Expansion,New Starts,Seattle,WA,LRT,cam
138,,Center City Connector Streetcar,2014,4,Expansion,Small Starts,Seattle,WA,Streetcar,cam
139,,Sound Transit-Federal Way Link Extension,2016,3,Expansion,Small Starts,Seattle,WA,LRT,cam
140,,Madison Street Corridor BRT,2016,10,Introduction,Small Starts,Seattle,WA,BRT,cam
