ID,Name,Year,Milestone,Project length,Expected cost,Expected 5309 contribution,Expected other federal funds,Expected opening
200,Mason Transportation Corridor,2001,Preliminary Engineering,5.3,66,52,0.5,NAV
,,2007,Project Development,5,81.97,65.68,0,NAV
201,San Fernando Valley East-West Transit Corridor,2000,Preliminary Engineering,14.4,300.3,0,0,NAV
202,Mid-City/Exposition LRT,2001,Preliminary Engineering,2.3,343.9,160.3,74,NAV
203,East Central Corridor,1993,FFGA Awarded,6.5,1640,650,0,NAV
204,Eastside Corridor LRT,2000,Preliminary Engineering,5.9,759.5,402.3,116,NAV
205,MOS-3 ,1993,FFGA Awarded,12.3,2460.00,1230.00,377.15,NAV
205a,MOS-3 North Hollywood Extension,1997,FFGA Awarded,6.3,1310.82,681.04,240.50,2000
,,2000,Project Opening,6.3,1310.82,681.04,245.6,2000
205b,MOS-3 East Side Extension,1993,Preliminary Engineering,3.7,980.00,NAV,NAV,NAV
205c,MOS-3 The Mid-City Extension,1993,FFGA Awarded,2.3,491,NAV,NAV,1999
206,Eastside Corridor Extension Phase 2,1993,Preliminary Engineering,3.1,1271,635.5,90,NAV
207,LOSSAN Rail Corridor Improvement Project ,1997,Final Design,N/A,29.68,18.4,0,NAV
208,Metro Gold Line Eastside Extension ,2000,Preliminary Engineering,6,759.5,N/A,N/A,2009
,,2002,Final Design,6,817.9 ,N/A,N/A,2009
,,2004,FFGA Awarded,6,898.8 ,N/A,N/A,2009
,,2009,Project Opening,6,898.81 ,490.70 ,212.98,2009
209,Regional Connector,2011,Preliminary Engineering,1.9,"1,402.93",669.9,64,2021
,,2014,FFGA Awarded,1.9,"1,402.93",669.9,64,2021
210,Westside Subway Extension Section 1,2011,Preliminary Engineering,8.9,"5,662.35 ","2,399.52 ",641,NAV
211,Westside Purple Line Extension Section 1,2011,Preliminary Engineering,3.92,2821.96,1250.00,12.17 ,2024
,,2014,FFGA Awarded,3.92,2821.96,1250.00,12.17 ,2024
212,Westside Purple Line Extension Section 2,2014,Preliminary Engineering,2.59,"$2,499.24","1,187.00",169.00,2026
