ID,Name,Year,Milestone,Project length,Expected cost,Expected 5309 contribution,Expected other federal funds,Expected opening
401,Atlanta/North Line Extension,AR-1997,FFGA Awarded,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997
401,Atlanta/North Line Extension,AR-2000,FFGA Awarded,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000
401,Atlanta/North Line Extension,AR-2001,FFGA Awarded,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001
401,Atlanta/North Line Extension,Spielberg,Project Opening,Spielberg,Spielberg,Spielberg,Spielberg,Spielberg
402,Baltimore LRT Extensions ,AR-1997,FFGA Awarded,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997
402,Baltimore LRT Extensions ,Spielberg,Project Opening,Spielberg,Spielberg,Spielberg,Spielberg,Spielberg
403,Baltimore Central Light Rail Double Tracking ,AR-2000,Preliminary Engineering,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000
403,Baltimore Central Light Rail Double Tracking ,AR-2001,Final Design,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001
403,Baltimore Central Light Rail Double Tracking ,AR-2003,FFGA Awarded,AR-2003,AR-2003,AR-2003,AR-2003,AR-2003
403,Baltimore Central Light Rail Double Tracking ,Workman,Project Opening,Workman,Workman,Workman,Workman,Workman
404,MARC Commuter Rail Improvements,AR-2001,Preliminary Engineering,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001
404,MARC Commuter Rail Improvements,AR-2003,Preliminary Engineering,AR-2003,AR-2003,AR-2003,AR-2003,AR-2003
405,MARC Penn-Camden connection ,AR-2004,Final Design,AR-2004,AR-2004,AR-2004,AR-2004,AR-2004
406,MARC Frederick Extension & Rolling Stock Procurement ,AR-1998,FFGA Awarded,AR-1998,AR-1998,AR-1998,AR-1998,AR-1998
407,Baltimore Red Line,AR-2013,Preliminary Engineering,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013
407,Baltimore Red Line,AR-2014,Project Development,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014
407,Baltimore Red Line,AR-2015,Project Development,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015
407,Baltimore Red Line,AR-2016,Project Development,AR-2016,AR-2016,AR-2016,AR-2016,AR-2016
407,Baltimore Red Line,External Source 1 (See below),Project Cancelled,,,,,
408,Maryland National Capital Purple Line,AR-2013,Preliminary Engineering,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013
408,Maryland National Capital Purple Line,AR-2014,Project Development,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014
408,Maryland National Capital Purple Line,AR-2015,Project Development,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015
408,Maryland National Capital Purple Line,AR-2016,Engineering,AR-2016,AR-2016,AR-2016,AR-2016,AR-2016
408,Maryland National Capital Purple Line,PP,FFGA Awarded,PP,PP,PP,PP,PP
409a,South Boston Piers Phase I (MOS-2),AR-1997,Preliminary Engineering,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997
409a,South Boston Piers Phase I (MOS-2),AR-1998,FFGA Awarded,AR-1998,AR-1998,AR-1998,AR-1998,AR-1998
409a,South Boston Piers Phase I (MOS-2),AR-2000,FFGA Awarded,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000
409a,South Boston Piers Phase I (MOS-2),AR-2001,FFGA Awarded,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001
409a,South Boston Piers Phase I (MOS-2),Workman,Project Opening,Workman,Workman,Workman,Workman,Workman
409b,South Boston Piers Phase II,AR-1997,FFGA Awarded,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997
409b,South Boston Piers Phase II,AR-1998,FFGA Awarded,AR-1998,AR-1998,AR-1998,AR-1998,AR-1998
409b,South Boston Piers Phase II,AR-2000,FFGA Awarded,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000
409c,Silver Line Phase III,AR-2004,Preliminary Engineering,AR-2004,AR-2004,AR-2004,AR-2004,AR-2004
409c,Silver Line Phase III,AR-2005,Preliminary Engineering,AR-2005,AR-2005,AR-2005,AR-2005,AR-2005
409c,Silver Line Phase III,AR-2006,Preliminary Engineering,AR-2006,AR-2006,AR-2006,AR-2006,AR-2006
409c,Silver Line Phase III,AR-2008,Preliminary Engineering,AR-2008,AR-2008,AR-2008,AR-2008,AR-2008
