ID,Name,Year,Milestone,Project length,Expected cost,Expected 5309 contribution,Expected other federal funds,Expected opening
100,Downtown-Uptown-Oakland-East End BRT Project ,PP19,PP19,PP19,PP19,PP19,PP19,PP19
101,Corridor one Rail MOS,AR07,AR07,AR07,AR07,AR07,AR07,
102,Schuylkill Valley Metro Rail,AR07,AR07,AR07,AR07,AR07,,
103,South/North Corridor (MOS-1),AR97,AR97,AR97,AR97,AR97,,AR97
104,"Portland, Oregon/Westside-Hillsboro Corridor ",AR97,AR97,AR97,AR97,AR97,,AR97
104,"Portland, Oregon/Westside-Hillsboro Corridor ",AR98,AR98,AR98,AR98,AR98,,AR98
104,"Portland, Oregon/Westside-Hillsboro Corridor ",AR00,AR00,AR00,AR00,AR00,,AR00
105,Westside Light Rail to 185th,AR97,AR97,AR97,AR97,AR97,,AR97
106,South Corridor I-205 / Portland Mall LRT ,AR07,AR07,AR07,AR07,AR07,,AR07
106,South Corridor I-205 / Portland Mall LRT ,AR10,AR10,AR10,AR10,AR10,AR10,AR10
107,Portland-Milwaukie Light Rail Project,AR10,AR10,AR10,AR10,AR10,AR10,AR10
107,Portland-Milwaukie Light Rail Project,AR10,AR10,AR10,AR10,AR10,AR10,AR10
108,Columbia River Crossing Project,AR12,AR12,AR12,AR12,AR12,AR12,AR12
108,Columbia River Crossing Project,AR15,AR15,AR15,AR15,AR15,AR15,AR15
108,Columbia River Crossing Project,AR15,AR15,AR15,AR15,AR15,AR15,AR15
109,Columbia River Crossing Project,,,,,,,
110,Powell-Division Transit and Development ,PP18,PP18,PP18,,PP18,,PP18
111,TriMet Interstate MAX Light Rail ,BA08,BA08,BA08,,,,
111,TriMet Interstate MAX Light Rail ,BA08,BA08,BA08,,,,
111,TriMet Interstate MAX Light Rail ,BA08,BA08,BA08,,,,
111,TriMet Interstate MAX Light Rail ,BA08,BA08,BA08,,AR02,AR02,AR02
111,TriMet Interstate MAX Light Rail ,BA08,BA08,BA08,,,,
112,MAX Red Line Extension and Reliability Improvements,,,,,,,
113,Westside Express Service Rail Project ,AR02,AR02,,,,,
113,Westside Express Service Rail Project ,AR02,AR02,,,,,
113,Westside Express Service Rail Project ,AR02,AR02,AR02,AR02,AR02,,
114,Green Line Light Rail Project ,BA14,BA14,BA14,BA14,,,BA14
114,Green Line Light Rail Project ,BA14,BA14,BA14,,,,BA14
114,Green Line Light Rail Project ,BA14,BA14,BA14,,,,BA14
114,Green Line Light Rail Project ,BA14,BA14,BA14,,,,BA14
115,Streetcar Loop Project ,,BA16,BA16,BA16,,,BA16
115,Streetcar Loop Project ,,BA16,BA16,BA16,,,BA16
115,Streetcar Loop Project ,,BA16,BA16,BA16,,,BA16
117,Southwest Corridor Light Rail Transit Project,,PP19,PP19,,,,PP19
117,Southwest Corridor Light Rail Transit Project,,PP19,PP19,,,,PP19
117,Southwest Corridor Light Rail Transit Project,,PP19,PP19,PP19,PP19,,PP19
118,Pioneer Parkway EmX BRT ,,AR10,AR10,,,,AR10
118,Pioneer Parkway EmX BRT ,,AR10,AR10,AR10,AR10,AR10,AR10
118,Pioneer Parkway EmX BRT ,,AR10,AR10,,,,AR10
119,West Eugene EmX Extension,AR14,AR14,AR 14,AR14,AR14,,AR14
119,West Eugene EmX Extension,AR15,AR15,AR15,AR15,AR15,,AR15
119,West Eugene EmX Extension,AR16,AR16,AR16,AR16,AR16,AR16,AR16
119,West Eugene EmX Extension,AR17,AR17,AR17,,,,
120,Cleveland (Euclid Corridor) ,AR02,AR02,AR02,AR02,AR02,AR02,AR02
120,Cleveland (Euclid Corridor) ,AR05,AR05,AR05,AR05,AR05,AR05,AR05
121,Interstate 71 corridor (MOS-1),AR02,AR02,AR02,AR02,AR02,,
121,Interstate 71 corridor (MOS-1),AR04,,,AR04,AR04,,
121,Interstate 71 corridor (MOS-1),AR05,,AR05,,,,
121,Interstate 71 corridor (MOS-1),AR06,,,,,,
122,Northeast Corridor BRT Project,AR14,AR14,AR14,AR14,AR14,,AR14
122,Northeast Corridor BRT Project,AR15,AR15,AR15,AR15,AR15,,AR15
123,Northeast Corridor LRT ,AR14,AR14,,AR14,AR14,,AR14
124,Cleveland Avenue Bus Rapid Transit,AR14,AR14,AR14,AR14,AR14,,AR14
124,Cleveland Avenue Bus Rapid Transit,AR15,AR15,AR15,AR15,AR15,,AR15
125,"Craig, Alaska (Alaska-Hollis Ketchikan Ferry) ",,,,,,,
126,Alaska Rail Road - South Wasilla Track Realignment ,AR05,,,AR05,AR05,,
127,South Anchorage Double Track ,AR03,,,AR03,AR03,,
128,Alaska Marine Highway System ,,,,,,,
129,Norfolk -Virginia Beach Corridor  (First phase),,,,,,,
130,Norfolk LRT - The Tide Light Rail,BA15,BA15,BA15,BA15,,,BA15
130,Norfolk LRT - The Tide Light Rail,BA15,BA15,BA15,BA15,,,BA15
130,Norfolk LRT - The Tide Light Rail,BA15,BA15,BA15,BA15,,,BA15
130,Norfolk LRT - The Tide Light Rail,BA15,BA15,BA15,BA15,,,BA15
131,West End Transitway,PA18,PA18,PA18,PA18,,,PA18
131,West End Transitway,PA18,PA18,PA18,PA18,,,PA18
131,West End Transitway,PA18,PA18,PA18,PA18,,,PA18
132,Richmond Highway BRT Project,AR22,AR22,,AR22,AR22,,
133,Seattle-Tacoma Sounder Commuter Rail ,AR00,AR00,AR00,,,,AR00
133,Seattle-Tacoma Sounder Commuter Rail ,AR00,AR00,AR00,AR00,AR00,,AR00
134,Central Link Initial Segment (Initial),BA13,BA13,BA13,BA13,,,
134,Central Link Initial Segment (Initial),BA13,BA13,BA13,BA13,,,
134,Central Link Initial Segment (Initial),BA13,BA13,BA13,BA13,BA13,,BA13
135,Roosevelt RapidRide BRT ,AR19,AR19,,AR19,AR19,,
135,Roosevelt RapidRide BRT ,AR20,AR20,,AR20,AR20,,
136,University Link LRT Extension,AR07,AR07,,,,,
136,University Link LRT Extension,AR07,AR07,,,,,
136,University Link LRT Extension,AR07,AR07,AR07,AR07,AR07,,AR07
137,Lynnwood Link Extension,AR15,AR15,AR15,AR15,AR15,,AR15
137,Lynnwood Link Extension,AR17,AR17,,AR17,AR17,,
138,Center City Connector Streetcar,AR16,AR16,AR16,AR16,AR16,,AR16
138,Center City Connector Streetcar,AR18,AR18,,AR18,AR18,,
138,Center City Connector Streetcar,AR19,AR19,,AR19,AR19,,
138,Center City Connector Streetcar,AR20,AR20,,AR20,AR20,,
138,Center City Connector Streetcar,AR21,AR21,,AR21,AR21,,
139,Sound Transit-Federal Way Link Extension,AR19,AR19,,AR19,AR19,,
139,Sound Transit-Federal Way Link Extension,AR20,AR20,,AR20,AR20,,
140,Madison Street Corridor BRT,PP19,PP19,PP19,PP19,PP19,PP19,PP19
140,Madison Street Corridor BRT,PP19,PP19,PP19,PP19,PP19,PP19,PP19
141,Link Extension and North Link,AR15,AR15,AR15,,,,
141,Link Extension and North Link,AR15,AR15,AR15,,,,
141,Link Extension and North Link,AR15,AR15,AR15,AR15,AR15,,AR15
142,Airport Link,BA13,BA13,BA13,BA13,BA13,,BA13
142,Airport Link,BA13,BA13,BA13,BA13,BA13,,BA13
143,North Link,,,,,,,
144,Everett to Seattle Commuter Rail,AR98,AR98,AR98,AR98,AR98,,AR98
144,Everett to Seattle Commuter Rail,AR00,AR00,AR00,AR00,AR00,,AR00
144,Everett to Seattle Commuter Rail,AR01,AR01,AR01,AR01,AR01,,AR02
144,Everett to Seattle Commuter Rail,AR02,AR02,AR02,AR02,AR02,,AR02
144,Everett to Seattle Commuter Rail,AR06,AR06,AR06,AR06,AR06,,AR06
145,Federal Way Link Extension,AR18,AR18,,AR18,,,
145,Federal Way Link Extension,AR19,AR19,,AR19,,,
145,Federal Way Link Extension,AR20,AR20,,AR20,,,
145,Federal Way Link Extension,AR21,AR21,,AR21,,,
146,Rapid Ride I,AR21,AR21,,AR21,,,
146,Rapid Ride I,AR22,AR22,,AR22,AR22,,
147,Rapid Ride K,AR21,AR21,,AR21,,,
148,Mill Plain Bus Rapid Transit,AR20,AR20,,AR20,AR20,,
148,Mill Plain Bus Rapid Transit,AR21,AR21,,AR21,AR21,,
149,Fourth Plain Bus Rapid Transit,AR15,AR15,AR15,AR15,AR15,AR15,AR15
149,Fourth Plain Bus Rapid Transit,AR16,AR16,AR16,AR16,AR16,AR16,AR16
150,Swift II,AR16,AR16,AR16,AR16,AR16,,AR16
150,Swift II,AR17,AR17,,AR17,AR17,,
150,Swift II,AR18,AR18,,AR18,AR18,,
150,Swift II,AR19,AR19,,AR19,AR19,,
151,Tacoma Link Light Rail Expansion,AR16,AR16,AR16,AR16,AR16,AR16,AR16
151,Tacoma Link Light Rail Expansion,AR17,AR17,,AR17,AR17,,
151,Tacoma Link Light Rail Expansion,AR18,AR18,,AR18,AR18,,
151,Tacoma Link Light Rail Expansion,AR19,AR19,,AR19,AR19,,
152,Lakewood to Tacoma Commuter Rail,AR00,AR00,AR00,,,,
152,Lakewood to Tacoma Commuter Rail,AR01,AR01,AR01,AR01,AR01,,AR01
152,Lakewood to Tacoma Commuter Rail,AR05,AR05,AR05,AR05,AR05,,
152,Lakewood to Tacoma Commuter Rail,AR06,AR06,AR06,AR06,AR06,,AR06
153,Pacific Avenue/SR 7 Corridor,AR20,AR20,,AR20,AR20,,
153,Pacific Avenue/SR 7 Corridor,AR21,AR21,,AR21,AR21,,
153,Pacific Avenue/SR 7 Corridor,AR22,AR22,,AR22,AR22,,
154,Central City Line,AR 17,AR 17,,AR 17,,,
154,Central City Line,AR19,AR19,,AR19,AR19,,
155,Metra North Central Corridor,AR05,AR05,AR05,AR05,AR05,,AR05
156,Metra South West Corridor,AR05,AR05,AR05,AR05,AR05,,AR05
157,Central Area Circulator,AR97,AR97,AR97,AR97,AR97,,
158,Ravenswood Line Extension,AR03,AR03,AR03,AR03,AR03,AR03,
158,Ravenswood Line Extension,AR04,AR04,AR04,AR04,AR04,AR04,
158,Ravenswood Line Extension,AR05,AR05,AR05,AR05,AR05,,
158,Ravenswood Line Extension,AR07,AR07,AR07,AR07,AR07,AR07,AR07
158,Ravenswood Line Extension,AR08,AR08,AR08,AR08,AR08,AR08,AR08
159,Ashland Avenue BRT Phase I,AR15,AR15,AR15,AR15,AR15,,
160,Red and Purple Line Modernization Project ,AR15,AR15,AR15,AR15,AR15,,
161,Red and Purple Line Modernization Project Phase I,AR15,AR15,AR15,AR15,,,AR15
161,Red and Purple Line Modernization Project Phase I,AR16,AR16,AR16,AR16,AR16,,
161,Red and Purple Line Modernization Project Phase I,AR18,AR18,AR18,AR18,AR18,,
