ID,Name,Year,Milestone,Project length,Expected cost,Expected 5309 contribution,Expected other federal funds,Expected opening
100,Downtown-Uptown-Oakland-East End BRT Project ,,,,,,,
101,Corridor one Rail MOS,,,,,,,
102,Schuylkill Valley Metro Rail,,,,,,,
103,South/North Corridor (MOS-1),,,,,,,
104,"Portland, Oregon/Westside-Hillsboro Corridor ",,,,,,,
105,Westside Light Rail to 185th,,,,,,,
106,South Corridor I-205 / Portland Mall LRT ,,,,,,,
107,Portland-Milwaukie Light Rail Project,,,,,,,
108,Columbia River Crossing Project,,,,,,,
109,Columbia River Crossing Project,,,,,,,
110,Powell-Division Transit and Development ,,,,,,,
111,TriMet Interstate MAX Light Rail ,,,,,,,
112,MAX Red Line Extension and Reliability Improvements,,,,,,,
113,Westside Express Service Rail Project ,,,,,,,
114,Green Line Light Rail Project ,,,,,,,
115,Streetcar Loop Project ,,,,,,,
117,Southwest Corridor Light Rail Transit Project,,,,,,,
118,Pioneer Parkway EmX BRT ,,,,,,,
119,West Eugene EmX Extension,,,,,,,
120,Cleveland (Euclid Corridor) ,,,,,,,
121,Interstate 71 corridor (MOS-1),,,,,,,
122,Northeast Corridor BRT Project,,,,,,,
123,Northeast Corridor LRT ,,,,,,,
124,Cleveland Avenue Bus Rapid Transit,,,,,,,
125,"Craig, Alaska (Alaska-Hollis Ketchikan Ferry) ",,,,,,,
126,Alaska Rail Road - South Wasilla Track Realignment ,,,,,,,
127,South Anchorage Double Track ,,,,,,,
128,Alaska Marine Highway System ,,,,,,,
129,Norfolk -Virginia Beach Corridor  (First phase),,,,,,,
130,Norfolk LRT - The Tide Light Rail,,,,,,,
131,West End Transitway,,,,,,,
132,Richmond Highway BRT Project,,,,,,,
133,Seattle-Tacoma Sounder Commuter Rail ,,,,,,,
134,Central Link Initial Segment (Initial),,,,,,,
135,Roosevelt RapidRide BRT ,,,,,,,
136,University Link LRT Extension,,,,,,,
137,Lynnwood Link Extension,,,,,,,
138,Center City Connector Streetcar,,,,,,,
139,Sound Transit-Federal Way Link Extension,,,,,,,
140,Madison Street Corridor BRT,,,,,,,
141,Link Extension and North Link,,,,,,,
142,Airport Link,,,,,,,
143,North Link,,,,,,,
144,Everett to Seattle Commuter Rail,,,,,,,
145,Federal Way Link Extension,,,,,,,
146,Rapid Ride I,,,,,,,
147,Rapid Ride K,,,,,,,
148,Mill Plain Bus Rapid Transit,,,,,,,
149,Fourth Plain Bus Rapid Transit,,,,,,,
150,Swift II,,,,,,,
151,Tacoma Link Light Rail Expansion,,,,,,,
152,Lakewood to Tacoma Commuter Rail,,,,,,,
153,Pacific Avenue/SR 7 Corridor,,,,,,,
154,Central City Line,,,,,,,
155,Metra North Central Corridor,,,,,,,
156,Metra South West Corridor,,,,,,,
157,Central Area Circulator,,,,,,,
158,Ravenswood Line Extension,,,,,,,
159,Ashland Avenue BRT Phase I,,,,,,,
160,Red and Purple Line Modernization Project ,,,,,,,
161,Red and Purple Line Modernization Project Phase I,,,,,,,
