ID,ID (letter),Name,Year,Year,Milestone,Project length,Expected cost,Expected 5309 contribution,Expected other federal funds,Expected opening,Author
100,,Downtown-Uptown-Oakland-East End Bus Rapid Transit,2017,PP19,PP19,PP19,PP19,PP19,PP19,PP19,cam
100,,Downtown-Uptown-Oakland-East End Bus Rapid Transit,2019,PP19,PP19,PP19,PP19,PP19,PP19,PP19,cam
101,,Corridor one Rail MOS,2002,AR07,AR07,AR07,AR07,AR07,AR07,NAV,cam
102,,Schuylkill Valley Metro Rail,2002,AR07,AR07,AR07,AR07,AR07,NAV,NAV,cam
103,,South/North Corridor (MOS-1),1996,AR97,AR97,AR97,AR97,AR97,NAV,AR97,cam
104,,"Portland, Oregon/Westside-Hillsboro Corridor ",1992,AR00,AR00,AR00,AR00,AR00,NAV,AR00,cam
104,,"Portland, Oregon/Westside-Hillsboro Corridor ",1996,AR97,AR97,AR97,AR97,AR97,NAV,AR97,cam
104,,"Portland, Oregon/Westside-Hillsboro Corridor ",1998,AR98,AR98,AR98,AR98,AR98,NAV,AR98,cam
105,,Westside Light Rail to 185th,1992,AR97,AR97,AR97,AR97,AR97,NAV,AR97,cam
106,,South Corridor I-205 / Portland Mall LRT ,2004,AR07,AR07,AR07,AR07,AR07,NAV,AR07,cam
106,,South Corridor I-205 / Portland Mall LRT ,2007,AR10,AR10,AR10,AR10,AR10,AR10,AR10,cam
107,,Portland-Milwaukie Light Rail Project,2002,AR10,AR10,AR10,AR10,AR10,AR10,AR10,cam
107,,Portland-Milwaukie Light Rail Project,2009,AR10,AR10,AR10,AR10,AR10,AR10,AR10,cam
108,,Columbia River Crossing Project,2009,AR11,AR11,AR11,AR11,AR11,AR11,AR11,cam
108,,Columbia River Crossing Project,2011,AR12,AR12,AR12,AR12,AR12,AR12,AR12,cam
108,,Columbia River Crossing Project,2013,AR13,AR13,AR13,AR13,AR13,AR13,AR13,cam
108,,Columbia River Crossing Project,2014,AR14,AR14,AR14,AR14,AR14,AR14,AR14,cam
109,,Columbia River Crossing Project,2014,AR15,AR15,AR15,AR15,AR15,AR15,AR15,cam
110,,Powell-Division Transit and Development ,2015,PP18,PP18,PP18,NAV,PP18,NAV,PP18,cam
111,,TriMet Interstate MAX Light Rail ,1994,BA08,BA08,BA08,NAV,AR02,AR02,AR02,cam
111,,TriMet Interstate MAX Light Rail ,1996,BA08,BA08,BA08,NAV,NAV,NAV,NAV,cam
111,,TriMet Interstate MAX Light Rail ,1999,BA08,BA08,BA08,NAV,NAV,NAV,NAV,cam
111,,TriMet Interstate MAX Light Rail ,2000,BA08,BA08,BA08,NAV,NAV,NAV,NAV,cam
111,,TriMet Interstate MAX Light Rail ,2004,BA08,BA08,BA08,NAV,NAV,NAV,NAV,cam
112,,MAX Red Line Extension and Reliability Improvements,2019,PP19,AR21,PP19,AR21,AR21,NAV,PP19,cam
113,,Westside Express Service Rail Project ,2001,AR02,AR02,AR02,AR02,AR02,AR02,BA13,
113,,Westside Express Service Rail Project ,2004,BA13,BA13,AR06,AR06,AR06,NAV,BA13,
113,,Westside Express Service Rail Project ,2006,BA13,BA13,AR07,BA13,AR07,NAV,BA13,
114,,Green Line Light Rail Project ,2004,BA14,BA14,NAV,BA14,NAV,NAV,BA14,
114,,Green Line Light Rail Project ,2005,BA14,BA14,NAV,NAV,NAV,NAV,BA14,
114,,Green Line Light Rail Project ,2007,BA14,BA14,BA14,NAV,NAV,NAV,BA14,
114,,Green Line Light Rail Project ,2009,BA14,BA14,BA14,NAV,NAV,NAV,BA14,
115,,StreetcARLoop Project ,2007,NAV,BA16,BA16,BA16,NAV,NAV,BA16,
115,,StreetcARLoop Project ,2009,NAV,BA16,BA16,BA16,NAV,NAV,BA16,
115,,StreetcARLoop Project ,2012,NAV,BA16,BA16,BA16,NAV,NAV,BA16,
117,,Southwest Corridor Light Rail Transit Project,2011,NAV,PP19,PP19,NAV,NAV,NAV,PP19,
117,,Southwest Corridor Light Rail Transit Project,2016,NAV,PP19,PP19,NAV,NAV,NAV,PP19,
117,,Southwest Corridor Light Rail Transit Project,2020,NAV,PP19,PP19,PP19,PP19,NAV,PP19,
118,,Pioneer Parkway EmX BRT ,2006,NAV,AR10,AR10,NAV,NAV,NAV,AR10,
118,,Pioneer Parkway EmX BRT ,2008,NAV,AR10,AR10,AR10,AR10,AR10,AR10,
118,,Pioneer Parkway EmX BRT ,2010,NAV,AR10,AR10,NAV,NAV,NAV,AR10,
119,,West Eugene EmX Extension,2011,AR14,AR14,AR14,AR14,AR14,NAV,AR14,
119,,West Eugene EmX Extension,2012,AR15,AR15,AR15,AR15,AR15,NAV,AR15,
119,,West Eugene EmX Extension,2012,AR16,AR16,AR16,AR16,AR16,AR16,AR16,
119,,West Eugene EmX Extension,2017,AR17,AR17,AR17,NAV,NAV,NAV,NAV,
120,,Cleveland (Euclid Corridor) ,2000,AR02,AR02,AR02,AR02,AR02,AR02,AR02,
120,,Cleveland (Euclid Corridor) ,2005,AR05,AR05,AR05,AR05,AR05,AR05,AR05,
121,,Interstate 71 corridor (MOS-1),1998,AR02,AR02,AR02,AR02,AR02,AR02,NAV,
121,,Interstate 71 corridor (MOS-1),2003,AR04,AR04,AR06,AR04,AR04,NAV,NAV,
122,,Northeast Corridor BRT Project,2013,AR14,AR14,AR14,AR14,AR14,NAV,AR14,
122,,Northeast Corridor BRT Project,2014,AR15,AR15,AR15,AR15,AR15,NAV,AR15,
123,,Northeast Corridor LRT ,2012,AR14,AR14,NAV,AR14,AR14,NAV,AR14,
124,,Cleveland Avenue Bus Rapid Transit,2013,AR14,AR14,AR14,AR14,AR14,NAV,AR14,
124,,Cleveland Avenue Bus Rapid Transit,2014,AR15,AR15,AR15,AR15,AR15,NAV,AR15,
125,,"Craig, Alaska (Alaska-Hollis Ketchikan Ferry) ",NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,
126,,Alaska Rail Road - South Wasilla Track Realignment ,2005,AR05,NAV,NAV,AR05,AR05,NAV,NAV,
127,,South Anchorage Double Track ,2003,AR03,NAV,NAV,AR03,AR03,NAV,NAV,
