ID,Name,Year,Milestone,Project length,Expected cost,Expected 5309 contribution,Expected other federal funds,Expected opening
501,Douglas Branch Reconstruction,1999,Preliminary Engineering,NAV,394,1.5,NAV,NAV
,,2000?,Preliminary Engineering,6.6,450.8,320.1,28.8,NAV
,,2001,Final Design,6.6,450.8,320.1,28.8,2005
,,2001,FFGA Awarded,6.6,482.5,320.1,63.68,2005
,,2005,Project Opening,6.6,482.68,318.53,63.68,2005
502,Union-Pacific West Line Extension,1998,Preliminary Engineering,8,142.08,87.44,,2006
,,1998,Preliminary Engineering,8.5,,,,
,,1998,Preliminary Engineering,8,93,54.4,,
,,2001,Final Design,8.5,134.56,80.76,12.9,2006
,,2001,FFGA Awarded,8.5,134.56,80.76,12.9,2006
503,Little Rock River Rail Project,1999,Preliminary Engineering,1.9,8.28,6.62,,
,,1998,Preliminary Engineering,2.1,13.2,8.6,2,2002
,,1999,Final Design,2.6,15.1,8.6,3.9,2002
,,1999,Final Design,2.1,13.2,8.6,2,2002
,,1999,Final Design,2.5,13.2,8.6,2,2002
504,Cenral Phoenix East Valley Light Rail,1998,Preliminary Engineering,20.3,1076,533.4,7.6,
,,1998,Preliminary Engineering,25,1181,590.7,17.4,
,,1998,Preliminary Engineering,20.3,1183.5,591.7,19.1,
,,1998,Preliminary Engineering,20.3,1.076,,,2008
,,2003,Final Design,20.3,1376.8,587.2,19.2,
,,2003,Final Design,19.7,1.181,,,2008
,,2005,FFGA Awarded,19.6,1412.12,587.2,59.75,
,,2005,FFGA Awarded,19.7,1.412,,,2008
,,2008,Project Opening,19.7,,,,2008
505,South Central Phoenix LRT/Downtown Hub,2015,Project Development,5.5,1345.17,529.86,,2023
,,2015,Project Development,4.8,704.54,345.22,,2023
,,2019,Engineering,5.5,1345.17,529.86,,2023
506,Northwest Phase II LRT Extension,2017,Project Development,,318.7,156.1,,
,,2017,Project Development,1.5,401.33,198.26,,
507,Modern Streetcar Project,2008,Preliminary Engineering,3.9,182.52,24.99,,
,,2009,Final Design,3.9,182.52,24.99,,
508,Tempe Streetcar,2013,Project Development,2.7,129.34,56,32.1,2016
,,2013,Project Development,2.7,129.34,56,32.1,2017
