ID,,Name,Year,Milestone,Project length,Expected cost,Expected 5309 contribution,Expected other federal funds,Expected opening
501,,Douglas Branch Reconstruction,1999,Preliminary Engineering,NAV,394,1.5,NA,NAV
501,,Douglas Branch Reconstruction,1999,Preliminary Engineering,6.6,450.8,320.1,28.8,NAV
501,,Douglas Branch Reconstruction,2000,Final Design,6.6,450.8,320.1,63.68,2005
501,,Douglas Branch Reconstruction,2001,FFGA Awarded,6.6,482.5,320.1,63.68,2005
501,,Douglas Branch Reconstruction,2005,Project Opening,6.6,482.68,318.53,63.68,2005
502,,Union-Pacific West Line Extension,1998,Preliminary Engineering,8,100.74,59.44,NA,NAV
502,,Union-Pacific West Line Extension,1998,Preliminary Engineering,8,93.04,54.31,NA,NA
502,,Union-Pacific West Line Extension,1998,Preliminary Engineering,8,142.08,87.44,NA,NA
502,,Union-Pacific West Line Extension,2001,FFGA Awarded,8.5,134.6,80.76,12,2006
502,,Union-Pacific West Line Extension,2001,FFGA Awarded,8.5,134.56,80.76,12,2006
503,,Little Rock River Rail Project,1998,Preliminary Engineering,1.9,8.28,6.62,NA,NAV
503,,Little Rock River Rail Project,1998,Preliminary Engineering,2.5,13.2,8.6,2,NAV
503,,Little Rock River Rail Project,1999,Final Design,2.1,13.2,8.6,2,2002
503,,Little Rock River Rail Project,1999,Final Design,2.6,15.1,8.6,3.9,2002
503,,Little Rock River Rail Project,2003,CGA,2.5,19.5,9.6,NAV,2004
503,,Little Rock River Rail Project,2003,CGA,2.5,19.6,10.5,NAV,2004
504,,Cenral Phoenix East Valley Light Rail,1998,Preliminary Engineering,22,390,195,NA,NA
504,,Cenral Phoenix East Valley Light Rail,1998,Preliminary Engineering,18.5,8883.9,441.9,NA,NA
504,,Cenral Phoenix East Valley Light Rail,1998,Preliminary Engineering,20.3,1076,533.4,7.6,NA
504,,Cenral Phoenix East Valley Light Rail,1998,Preliminary Engineering,20.3,1180.6,590.3,17.4,NA
504,,Cenral Phoenix East Valley Light Rail,2003,Final Design,20.3,1376.8,587.2,19.2,2007
504,,Cenral Phoenix East Valley Light Rail,2005,FFGA Awarded,19.6,1412.12,587.2,59.75,2008
504,,Cenral Phoenix East Valley Light Rail,2008,Project Opening,19.7,1405,587.2,59.75,2008
505,,South Central Phoenix LRT/Downtown Hub,2017,Project Development,5,NA,530.7,NA,2023
505,,South Central Phoenix LRT/Downtown Hub,2017,Project Development,4.8,704.5,348.5,NA,2023
505,,South Central Phoenix LRT/Downtown Hub,2017,Project Development,4.8,704.54,345.22,NA,2023
505,,South Central Phoenix LRT/Downtown Hub,2017,Project Development,5.5,1345.17,665.86,116.66,2023
505,,South Central Phoenix LRT/Downtown Hub,2019,Engineering,5.5,1345.17,529.86,108,2023
505,,South Central Phoenix LRT/Downtown Hub,2021,FFGA Awarded,5.5,1345.09,529.83,108,2026
506,,Northwest Phase II LRT Extension,2017,Project Development,1.5,318.66,156.14,NA,2023
506,,Northwest Phase II LRT Extension,2017,Project Development,1.5,340.8,168.7,NA,2023
506,,Northwest Phase II LRT Extension,2017,Project Development,1.5,401.33,198.26,NA,2025
506,,Northwest Phase II LRT Extension,2020,Engineering,1.5,401.33,198.26,NA,2025
507,,Modern Streetcar Project,2007,Preliminary Engineering,3.9,150,25,3.62,2011
507,,Modern Streetcar Project,2009,Final Design,3.9,182.52,24.99,NA,NAV
507,,Modern Streetcar Project,2009,Final Design,3.9,196.5,5.8,77.15,2013
507,,Modern Streetcar Project,2014,Project Opening,3.9,196.5,6,67,2014
508,,Tempe Streetcar,2013,Project Development,2.7,129.34,56,32.1,2016
508,,Tempe Streetcar,2013,Project Development,2.7,129.34,56,32.1,2017
508,,Tempe Streetcar,2013,Project Development,3,182.85,74.99,19,2019
508,,Tempe Streetcar,2019,PCGA,3,201.85,75,14,2021
509,,Central Mesa Light Rail Transit Extension,2010,Project Development,3.1,198.5,74.99,44.56,2016
509,,Central Mesa Light Rail Transit Extension,2012,PCGA,3.1,199.01,74.99,52.84,2016
509,,Central Mesa Light Rail Transit Extension,2015,Project Opening,3.1,198.5,74.99,52.84,2015
510,,Transit Spine BRT,2016,Project Development,13,32.9,NAV,NAV,2021
511,,Mountain Link BRT Project,2009,Project Development,5.8,10.41,6.24,1.9,2010
511,,Mountain Link BRT Project,2011,SSGA,6.8,8.25,6.24,1.9,2011
511,,Mountain Link BRT Project,2011,Project Opening,6.8,8.25,6.24,NAV,2011
512,,Northstar Corridor Rail,2000,Preliminary Engineering,80,223,112,NA,NAV
512,,Northstar Corridor Rail,2000,Preliminary Engineering,82,294,147,NA,NAV
512,,Northstar Corridor Rail,2000,Preliminary Engineering,82,301.9,150.9,NA,NAV
512,,Northstar Corridor Rail,2000,Preliminary Engineering,40,265.2,131,5.1,2009
