"","ID","Year","Author","ID_Year"
"1","412","1995","cox","412_1995"
"2","319","2003","mwj","319_2003"
"3","319","2010","mwj","319_2010"
"4","106","2004","cam","106_2004"
"5","107","2002","cam","107_2002"
"6","111","1994","cam","111_1994"
"7","111","1999","cam","111_1999"
"8","113","1997","cam","113_1997"
"9","113","1999","cam","113_1999"
"10","113","2000","cam","113_2000"
"11","117","2011","cam","117_2011"
"12","117","2016","cam","117_2016"
"13","117","2020","cam","117_2020"
"14","119","2011","cam","119_2011"
"15","121","2004","cam","121_2004"
"16","121","2005","cam","121_2005"
"17","122","2014","cam","122_2014"
"18","124","2013","cam","124_2013"
"19","124","2014","cam","124_2014"
"20","131","2017","cam","131_2017"
"21","131","2019","cam","131_2019"
"22","134","1999","cam","134_1999"
"23","136","1999","cam","136_1999"
"24","136","2001","cam","136_2001"
"25","137","2017","cam","137_2017"
"26","139","2018","cam","139_2018"
"27","141","2006","cam","141_2006"
"28","141","2006","cam","141_2006"
"29","141","2009","cam","141_2009"
"30","142","2003","cam","142_2003"
"31","142","2008","cam","142_2008"
"32","144","1996","cam","144_1996"
"33","144","1998","cam","144_1998"
"34","144","1999","cam","144_1999"
"35","144","2000","cam","144_2000"
"36","145","2018","cam","145_2018"
"37","145","2019","cam","145_2019"
"38","145","2020","cam","145_2020"
"39","145","2021","cam","145_2021"
"40","152","1998","cam","152_1998"
"41","152","1999","cam","152_1999"
"42","152","2003","cam","152_2003"
"43","152","2005","cam","152_2005"
"44","157","1995 -Terminated","cam","157_1995 -Terminated"
"45","159","2013","cam","159_2013"
"46","507","2014","zi","507_2014"
"47","516","2004","zi","516_2004"
"48","520","2020","zi","520_2020"
"49","521","2018","zi","521_2018"
"50","531","2019","zi","531_2019"
"51","535","2015","zi","535_2015"
"52","536","2017","zi","536_2017"
"53","537","2010","zi","537_2010"
"54","542","2020","zi","542_2020"
"55","549","2015","zi","549_2015"
"56","551","2004","zi","551_2004"
